subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
Oligodendrocyte,AL353811.1,0.0500668877265886,484,6,0.052762068808078766,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,7,0.0453304722905159,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,8,0.04718475788831711,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,9,0.030601918697357178,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,10,0.028165319934487343,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,11,0.04611985385417938,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,12,0.040891360491514206,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,13,0.061671093106269836,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,14,0.09100312739610672,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,15,0.022785183042287827,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,16,0.07569591701030731,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,17,0.11765780299901962,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,18,0.038116686046123505,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,19,0.03601070120930672,0
Oligodendrocyte,AL353811.1,0.0500668877265886,484,20,0.044652242213487625,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,1,0.009665056131780148,1
Oligodendrocyte,AC097512.1,0.0490113657267171,498,2,0.027205264195799828,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,3,0.04084238409996033,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,4,0.041286028921604156,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,5,0.06174779310822487,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,6,0.02533642388880253,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,7,0.050828833132982254,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,8,0.06270522624254227,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,9,0.041004229336977005,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,10,0.059963226318359375,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,11,0.06553947925567627,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,12,0.04565801844000816,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,13,0.053193990141153336,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,14,0.06866186857223511,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,15,0.04147891327738762,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,16,0.07241865992546082,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,17,0.06969467550516129,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,18,0.050599854439496994,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,19,0.06397838145494461,0
Oligodendrocyte,AC097512.1,0.0490113657267171,498,20,0.04819169268012047,0
Oligodendrocyte,LINC02248,0.0446906088527934,496,1,0.01043869648128748,1
